,k,p,v,w,accuracy,accuracy_sk
0,0.0,0.0,0.0,0.0,0.0,0.0
0,1,1,max,uniform,0.9092466739575977,0.9092466739575977
0,1,1,max,mutual_info,0.9095608606064713,0.9095608606064713
0,1,1,max,chi2,0.906606674922069,0.906606674922069
0,1,1,invd,uniform,0.9092466739575977,0.9092466739575977
0,1,1,invd,mutual_info,0.9094050996200336,0.9094050996200336
0,1,1,invd,chi2,0.906606674922069,0.906606674922069
0,1,1,sheppard,uniform,0.9092466739575977,0.9092466739575977
0,1,1,sheppard,mutual_info,0.909404132895307,0.909404132895307
0,1,1,sheppard,chi2,0.906606674922069,0.906606674922069
0,1,2,max,uniform,0.9048981061746657,0.9048981061746657
0,1,2,max,mutual_info,0.9064588764643352,0.9064588764643352
0,1,2,max,chi2,0.9036614252374566,0.9036614252374566
0,1,2,invd,uniform,0.9048981061746657,0.9048981061746657
0,1,2,invd,mutual_info,0.9063033577154617,0.9063033577154617
0,1,2,invd,chi2,0.9036614252374566,0.9036614252374566
0,1,2,sheppard,uniform,0.9048981061746657,0.9048981061746657
0,1,2,sheppard,mutual_info,0.9059930379515408,0.9059930379515408
0,1,2,sheppard,chi2,0.9036614252374566,0.9036614252374566
0,1,inf,max,uniform,0.8797224738749815,0.10986629741182503
0,1,inf,max,mutual_info,0.8742905480264538,0.10986629741182503
0,1,inf,max,chi2,0.8657467690221414,0.10924734684941084
0,1,inf,invd,uniform,0.8797224738749815,0.10986629741182503
0,1,inf,invd,mutual_info,0.8752215028043645,0.10986629741182503
0,1,inf,invd,chi2,0.8657467690221414,0.10924734684941084
0,1,inf,sheppard,uniform,0.8797224738749815,0.10986629741182503
0,1,inf,sheppard,mutual_info,0.8755361694563749,0.10986629741182503
0,1,inf,sheppard,chi2,0.8657467690221414,0.10924734684941084
0,3,1,max,uniform,0.9134440676472378,0.9134440676472378
0,3,1,max,mutual_info,0.9129796668694861,0.9129796668694861
0,3,1,max,chi2,0.912826794803993,0.912826794803993
0,3,1,invd,uniform,0.9137553518754711,0.9134440676472378
0,3,1,invd,mutual_info,0.9139166529800857,0.9142243193142665
0,3,1,invd,chi2,0.9131380767857651,0.912826794803993
0,3,1,sheppard,uniform,0.9135998308801367,0.9134440676472378
0,3,1,sheppard,mutual_info,0.9134491232693559,0.9139120706077678
0,3,1,sheppard,chi2,0.9131380767857651,0.912826794803993
0,3,2,max,uniform,0.9126770718896268,0.9126770718896268
0,3,2,max,mutual_info,0.9092529565485776,0.9092529565485776
0,3,2,max,chi2,0.9075439122909599,0.9075439122909599
0,3,2,invd,uniform,0.9123677165969948,0.9126770718896268
0,3,2,invd,mutual_info,0.9087873557804258,0.9086311125583435
0,3,2,invd,chi2,0.9075446345107311,0.9075439122909599
0,3,2,sheppard,uniform,0.9123677165969948,0.9126770718896268
0,3,2,sheppard,mutual_info,0.909874560533755,0.909718317311673
0,3,2,sheppard,chi2,0.9075446345107311,0.9075439122909599
0,3,inf,max,uniform,0.888423474100267,0.10986629741182503
0,3,inf,max,mutual_info,0.8879677446131542,0.10986629741182503
0,3,inf,max,chi2,0.8781761707174349,0.10924734684941084
0,3,inf,invd,uniform,0.8895106743676507,0.10986629741182503
0,3,inf,invd,mutual_info,0.888277837878691,0.10986629741182503
0,3,inf,invd,chi2,0.8786429826943385,0.10924734684941084
0,3,inf,sheppard,uniform,0.8895106743676507,0.10986629741182503
0,3,inf,sheppard,mutual_info,0.8887407717174071,0.10986629741182503
0,3,inf,sheppard,chi2,0.8786429826943385,0.10924734684941084
0,5,1,max,uniform,0.9128212636716604,0.9128212636716604
0,5,1,max,mutual_info,0.9125109349149187,0.9125109349149187
0,5,1,max,chi2,0.911577559952012,0.911577559952012
0,5,1,invd,uniform,0.9139099151458762,0.9128212636716604
0,5,1,invd,mutual_info,0.9136005531068845,0.912355173928481
0,5,1,invd,chi2,0.9123570983781366,0.911577559952012
0,5,1,sheppard,uniform,0.9142214393721894,0.9128212636716604
0,5,1,sheppard,mutual_info,0.913601035342529,0.9125114194040009
0,5,1,sheppard,chi2,0.9123578206118612,0.911577559952012
0,5,2,max,uniform,0.9097197572513169,0.9097197572513169
0,5,2,max,mutual_info,0.9108045463335019,0.9108045463335019
0,5,2,max,chi2,0.9080056438997914,0.9080056438997914
0,5,2,invd,uniform,0.9106545744352117,0.9097197572513169
0,5,2,invd,mutual_info,0.9103399145365374,0.9106487830936265
0,5,2,invd,chi2,0.9086325569978863,0.9080056438997914
0,5,2,sheppard,uniform,0.9104988134417973,0.9097197572513169
0,5,2,sheppard,mutual_info,0.9101860847461151,0.909873107066509
0,5,2,sheppard,chi2,0.9084763137688274,0.9080056438997914
0,5,inf,max,uniform,0.8898178516919215,0.10986629741182503
0,5,inf,max,mutual_info,0.8867216477009248,0.10986629741182503
0,5,inf,max,chi2,0.88500923675871,0.10924734684941084
0,5,inf,invd,uniform,0.8904450047950728,0.10986629741182503
0,5,inf,invd,mutual_info,0.8879629289751628,0.10986629741182503
0,5,inf,invd,chi2,0.8848544447434599,0.10924734684941084
0,5,inf,sheppard,uniform,0.8899769905952611,0.10986629741182503
0,5,inf,sheppard,mutual_info,0.8878091059311,0.10986629741182503
0,5,inf,sheppard,chi2,0.8846989237481255,0.10924734684941084
0,7,1,max,uniform,0.9095565204647416,0.9095565204647416
0,7,1,max,mutual_info,0.9076950841587204,0.9076950841587204
0,7,1,max,chi2,0.9067622004242786,0.9067622004242786
0,7,1,invd,uniform,0.912356871858823,0.9095565204647416
0,7,1,invd,mutual_info,0.9114222946939379,0.9081609271644366
0,7,1,invd,chi2,0.9092498208762168,0.9067622004242786
0,7,1,sheppard,uniform,0.913291929033821,0.9095565204647416
0,7,1,sheppard,mutual_info,0.9123539739520343,0.9084714869194608
