k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,max,uniform,0.9092466739575977,0.9092466739575977,0.19872283935546875,1.3055047512054443
1,1,max,mutual_info,0.9097158993661614,0.9097158993661614,0.1814587354660034,1.2625910997390748
1,1,max,chi2,0.906606674922069,0.906606674922069,0.2174138069152832,1.424758291244507
1,1,invd,uniform,0.9092466739575977,0.9092466739575977,0.2130221128463745,1.3870893478393556
1,1,invd,mutual_info,0.908937569909304,0.908937569909304,0.2150345802307129,1.383136248588562
1,1,invd,chi2,0.906606674922069,0.906606674922069,0.20819604396820068,1.3702087163925172
1,1,sheppard,uniform,0.9092466739575977,0.9092466739575977,0.20166280269622802,1.336740493774414
1,1,sheppard,mutual_info,0.9090945376185482,0.9090945376185482,0.2035156488418579,1.3651583433151244
1,1,sheppard,chi2,0.906606674922069,0.906606674922069,0.2301476001739502,1.4022455215454102
1,2,max,uniform,0.9048981061746657,0.9048981061746657,0.18787069320678712,0.07633414268493652
1,2,max,mutual_info,0.9059930357120564,0.9059930357120564,0.20886459350585937,0.07777793407440185
1,2,max,chi2,0.9036614252374566,0.9036614252374566,0.1879876136779785,0.07546360492706299
1,2,invd,uniform,0.9048981061746657,0.9048981061746657,0.209830379486084,0.073028302192688
1,2,invd,mutual_info,0.9064593587069562,0.9064593587069562,0.20749101638793946,0.07139220237731933
1,2,invd,chi2,0.9036614252374566,0.9036614252374566,0.19322655200958253,0.07001500129699707
1,2,sheppard,uniform,0.9048981061746657,0.9048981061746657,0.19531514644622802,0.06998767852783203
1,2,sheppard,mutual_info,0.906147354484483,0.906147354484483,0.20341031551361083,0.07209038734436035
1,2,sheppard,chi2,0.9036614252374566,0.9036614252374566,0.21502213478088378,0.0755157470703125
1,inf,max,uniform,0.8797224738749815,0.10986629741182503,0.20254387855529785,0.9658479213714599
1,inf,max,mutual_info,0.8741323780943017,0.10986629741182503,0.1931912422180176,0.907837200164795
1,inf,max,chi2,0.8657467690221414,0.10924734684941084,0.18932101726531983,0.9062964200973511
1,inf,invd,uniform,0.8797224738749815,0.10986629741182503,0.1841350317001343,0.901774001121521
1,inf,invd,mutual_info,0.8736672550758489,0.10986629741182503,0.20474178791046144,0.9597854137420654
1,inf,invd,chi2,0.8657467690221414,0.10924734684941084,0.20856332778930664,0.9608322381973267
1,inf,sheppard,uniform,0.8797224738749815,0.10986629741182503,0.20676681995391846,0.9482044219970703
1,inf,sheppard,mutual_info,0.8756878280596785,0.10986629741182503,0.19939866065979003,0.9263991832733154
1,inf,sheppard,chi2,0.8657467690221414,0.10924734684941084,0.1977750539779663,0.9201614141464234
3,1,max,uniform,0.9134440676472378,0.9134440676472378,0.20301268100738526,1.3751870393753052
3,1,max,mutual_info,0.9140692805545765,0.9140692805545765,0.20568242073059081,1.396217370033264
3,1,max,chi2,0.912826794803993,0.912826794803993,0.21082909107208253,1.3745942115783691
3,1,invd,uniform,0.9137553518754711,0.9134440676472378,0.20107824802398683,1.3537920475006104
3,1,invd,mutual_info,0.9132950489879315,0.9136029575666533,0.19772944450378419,1.352827262878418
3,1,invd,chi2,0.9131380767857651,0.912826794803993,0.20416762828826904,1.377079176902771
3,1,sheppard,uniform,0.9135998308801367,0.9134440676472378,0.203080415725708,1.3706730127334594
3,1,sheppard,mutual_info,0.9142250437874754,0.9148435121212216,0.19738142490386962,1.3468046188354492
3,1,sheppard,chi2,0.9131380767857651,0.912826794803993,0.19884934425354003,1.3605476379394532
3,2,max,uniform,0.9126770718896268,0.9126770718896268,0.20027432441711426,0.10586621761322021
3,2,max,mutual_info,0.910185120295756,0.910185120295756,0.19621996879577636,0.10431492328643799
3,2,max,chi2,0.9075439122909599,0.9075439122909599,0.19775445461273194,0.10515973567962647
3,2,invd,uniform,0.9123677165969948,0.9126770718896268,0.19539799690246581,0.09914555549621581
3,2,invd,mutual_info,0.9095639985322699,0.9095627940698776,0.19703688621520996,0.09983212947845459
3,2,invd,chi2,0.9075446345107311,0.9075439122909599,0.19683692455291749,0.09985213279724121
3,2,sheppard,uniform,0.9123677165969948,0.9126770718896268,0.19642696380615235,0.10200450420379639
3,2,sheppard,mutual_info,0.9090967110660813,0.9089404678439991,0.1975191593170166,0.10211329460144043
3,2,sheppard,chi2,0.9075446345107311,0.9075439122909599,0.1973275899887085,0.10199363231658935
3,inf,max,uniform,0.888423474100267,0.10986629741182503,0.2038006067276001,0.9715912818908692
3,inf,max,mutual_info,0.8865697311208767,0.10986629741182503,0.20489985942840577,0.9701353788375855
3,inf,max,chi2,0.8781761707174349,0.10924734684941084,0.20709586143493652,0.9833944797515869
3,inf,invd,uniform,0.8895106743676507,0.10986629741182503,0.21010222434997558,0.9664018630981446
