k,p,v,w,accuracy,accuracy_sk,time_pp,time_test
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,max,relieff,0.9094043571542068,0.9094043571542068,0.19881834983825683,1.3193501710891724
1,1,invd,relieff,0.9094043571542068,0.9094043571542068,0.20203394889831544,1.3389142036437989
1,1,sheppard,relieff,0.9094043571542068,0.9094043571542068,0.2017669439315796,1.3301071643829345
1,2,max,relieff,0.9058227873823237,0.9058227873823237,0.20301246643066406,0.07939350605010986
1,2,invd,relieff,0.9058227873823237,0.9058227873823237,0.2114987850189209,0.07322969436645507
1,2,sheppard,relieff,0.9058227873823237,0.9058227873823237,0.20401363372802733,0.07221455574035644
1,inf,max,relieff,0.882987448080183,0.10986629741182503,0.20026228427886963,0.9219108581542969
1,inf,invd,relieff,0.882987448080183,0.10986629741182503,0.21145377159118653,0.9852065563201904
1,inf,sheppard,relieff,0.882987448080183,0.10986629741182503,0.206831955909729,0.9454326868057251
3,1,max,relieff,0.9132902288570183,0.9132902288570183,0.20077803134918212,1.3458389282226562
3,1,invd,relieff,0.9139125573223812,0.9132902288570183,0.18774986267089844,1.3015565156936646
3,1,sheppard,relieff,0.9137570363270469,0.9132902288570183,0.1872030973434448,1.2951345205307008
3,2,max,relieff,0.9118963222477735,0.9118963222477735,0.18904645442962648,0.1030838966369629
3,2,invd,relieff,0.9117408012454625,0.9118963222477735,0.1892167091369629,0.0980750560760498
3,2,sheppard,relieff,0.9117408012454625,0.9118963222477735,0.1885929822921753,0.10125761032104492
3,inf,max,relieff,0.883143713773852,0.10986629741182503,0.18197176456451417,0.8892671585083007
3,inf,invd,relieff,0.8850094902425327,0.10986629741182503,0.18277363777160643,0.8713858604431153
3,inf,sheppard,relieff,0.8850094902425327,0.10986629741182503,0.1812143325805664,0.879966425895691
5,1,max,relieff,0.9120477565572942,0.9120477565572942,0.18200538158416749,1.2534854650497436
5,1,invd,relieff,0.9137577697791232,0.9120477565572942,0.1861212968826294,1.274006199836731
5,1,sheppard,relieff,0.9139137730101019,0.9120477565572942,0.1833112955093384,1.2711088180541992
5,2,max,relieff,0.9104901264189547,0.9104901264189547,0.1868373155593872,0.10338029861450196
5,2,invd,relieff,0.910337743342442,0.9104901264189547,0.1882735013961792,0.10209856033325196
5,2,sheppard,relieff,0.9103367788641765,0.9104901264189547,0.19978008270263672,0.1085219144821167
5,inf,max,relieff,0.8864038723131561,0.10986629741182503,0.21484947204589844,0.9924368619918823
5,inf,invd,relieff,0.8876485270183506,0.10986629741182503,0.18664264678955078,0.9044524192810058
5,inf,sheppard,relieff,0.8870254740588491,0.10986629741182503,0.19720890522003173,0.9376660108566284
7,1,max,relieff,0.9083109035416956,0.9083109035416956,0.1855762004852295,1.2710549592971803
7,1,invd,relieff,0.9108004551896492,0.9083109035416956,0.19463791847229003,1.3499529361724854
7,1,sheppard,relieff,0.9115790246445865,0.9083109035416956,0.19912424087524414,1.3570132732391358
7,2,max,relieff,0.9083169416277205,0.9083169416277205,0.20804591178894044,0.10671195983886719
7,2,invd,relieff,0.9092486231322777,0.9083169416277205,0.20233588218688964,0.10542490482330322
7,2,sheppard,relieff,0.908782542381919,0.9083169416277205,0.20772690773010255,0.11589329242706299
7,inf,max,relieff,0.8868726065281374,0.10986629741182503,0.1999619722366333,0.9568933486938477
7,inf,invd,relieff,0.8881143655520747,0.10986629741182503,0.18928446769714355,0.9163957118988038
7,inf,sheppard,relieff,0.8871822018048963,0.10986629741182503,0.18783910274505616,0.9100995063781738
