accuracy,efficiency,k,distance,policy,weighting
0.6476098706475855,0.006845164299011231,5,chebyshev,majority,uniform
0.7010362173038229,0.006847596168518067,5,chebyshev,sheppard,uniform
0.7081949840560842,0.006848001480102539,7,chebyshev,majority,uniform
0.7088015647165175,0.006853580474853516,3,chebyshev,majority,uniform
0.7169806563164152,0.006837368011474609,5,chebyshev,inverse,uniform
0.7274812558213732,0.006750869750976563,3,chebyshev,sheppard,uniform
0.7375019340252942,0.006812953948974609,3,chebyshev,inverse,uniform
0.7387015185743617,0.006888341903686523,7,chebyshev,sheppard,uniform
0.7533008365624265,0.006905579566955566,7,chebyshev,inverse,uniform
0.7726853019223612,0.006478261947631836,1,chebyshev,sheppard,uniform
0.7726853019223612,0.006485128402709961,1,chebyshev,inverse,uniform
0.7726853019223612,0.0067816972732543945,1,chebyshev,majority,uniform
0.8016159274487504,0.007075977325439453,1,1-norm,sheppard,uniform
0.8016159274487504,0.007183980941772461,1,1-norm,inverse,uniform
0.8016159274487504,0.007628631591796875,1,1-norm,majority,uniform
0.806953811530736,0.007464981079101563,1,1-norm,majority,mutual_info
0.806953811530736,0.0070571422576904295,1,1-norm,sheppard,mutual_info
0.806953811530736,0.0072781085968017575,1,1-norm,inverse,mutual_info
0.8088434014144544,0.007562255859375,1,2-norm,majority,uniform
0.8088434014144544,0.007348561286926269,1,2-norm,inverse,uniform
0.8088434014144544,0.007257652282714844,1,2-norm,sheppard,uniform
0.811405791955484,0.007528996467590332,1,2-norm,majority,mutual_info
0.811405791955484,0.007322001457214356,1,2-norm,sheppard,mutual_info
0.811405791955484,0.007361936569213867,1,2-norm,inverse,mutual_info
0.8127758280287007,0.007071781158447266,1,chebyshev,inverse,mutual_info
0.8127758280287007,0.007041501998901367,1,chebyshev,sheppard,mutual_info
0.8127758280287007,0.0074128866195678714,1,chebyshev,majority,mutual_info
0.8274360656693786,0.0072247982025146484,3,chebyshev,inverse,mutual_info
0.8288646370979501,0.0073604583740234375,1,chebyshev,majority,relief
0.8288646370979501,0.007020473480224609,1,chebyshev,sheppard,relief
0.8288646370979501,0.007021713256835938,1,chebyshev,inverse,relief
0.8290309546966368,0.007175540924072266,1,1-norm,inverse,relief
0.8290309546966368,0.0076170206069946286,1,1-norm,majority,relief
0.8290309546966368,0.007116198539733887,1,1-norm,sheppard,relief
0.8303126945818132,0.007472848892211914,3,2-norm,inverse,mutual_info
0.8319549779495388,0.007494354248046875,3,2-norm,inverse,uniform
0.8334663908429262,0.0072479724884033205,3,1-norm,sheppard,uniform
0.8346830514202006,0.007411599159240723,3,chebyshev,majority,mutual_info
0.8346830514202006,0.007217884063720703,3,chebyshev,sheppard,mutual_info
0.8360933032122831,0.007239127159118652,3,chebyshev,inverse,relief
0.837541969635374,0.007252359390258789,3,1-norm,inverse,mutual_info
0.8376461239731656,0.007301449775695801,5,chebyshev,inverse,mutual_info
0.8378793476974378,0.007457089424133301,3,2-norm,sheppard,uniform
0.8404825371667345,0.007254362106323242,5,chebyshev,sheppard,mutual_info
0.8404825371667345,0.00745079517364502,5,chebyshev,majority,mutual_info
0.8408406448923721,0.007632160186767578,3,2-norm,majority,uniform
0.8419087242980476,0.007620429992675782,3,2-norm,majority,mutual_info
0.8419087242980476,0.007393550872802734,3,2-norm,sheppard,mutual_info
0.842079810491251,0.007275724411010742,3,1-norm,inverse,uniform
0.8422265905749929,0.007381439208984375,3,1-norm,majority,uniform
0.8434042275820308,0.007622933387756348,5,2-norm,inverse,relief
0.8449150572660173,0.007342195510864258,1,2-norm,inverse,relief
0.8449150572660173,0.007572317123413086,1,2-norm,majority,relief
0.8449150572660173,0.007315301895141601,1,2-norm,sheppard,relief
0.8449600673092261,0.007556104660034179,5,2-norm,inverse,uniform
0.8461785032445311,0.007342195510864258,7,chebyshev,inverse,mutual_info
0.8462388396877427,0.0074661970138549805,3,1-norm,majority,mutual_info
0.8462388396877427,0.0072057247161865234,3,1-norm,sheppard,mutual_info
0.847585178590726,0.007319998741149902,5,1-norm,inverse,mutual_info
0.8477094279230369,0.007370209693908692,5,1-norm,inverse,relief
0.847730157586611,0.007283067703247071,7,chebyshev,inverse,relief
0.8477526626082152,0.007542991638183593,7,2-norm,inverse,relief
0.8491398004394654,0.0075446367263793945,5,2-norm,inverse,mutual_info
0.8491593122245836,0.007536125183105469,3,2-norm,inverse,relief
0.8491593122245836,0.007566213607788086,7,2-norm,inverse,mutual_info
0.8492220586948802,0.0072768211364746095,5,chebyshev,inverse,relief
0.8506920379909465,0.007275032997131348,3,1-norm,inverse,relief
0.8520383511641031,0.007405567169189453,7,1-norm,inverse,relief
0.8535308354817739,0.007504010200500488,7,chebyshev,majority,mutual_info
0.8535308354817739,0.007319903373718262,7,chebyshev,sheppard,mutual_info
0.8537415799142682,0.007518625259399414,5,2-norm,sheppard,uniform
0.8548321900713745,0.0073557615280151365,5,1-norm,sheppard,mutual_info
0.8548321900713745,0.007476162910461426,5,1-norm,majority,mutual_info
0.8548333822200037,0.007646036148071289,7,2-norm,majority,mutual_info
0.8548333822200037,0.007523751258850098,7,2-norm,sheppard,mutual_info
0.8551085970211721,0.0074824333190917965,7,1-norm,inverse,uniform
0.8551695424036116,0.007314825057983398,5,1-norm,sheppard,uniform
0.8566200099145597,0.007404541969299317,7,1-norm,sheppard,uniform
0.8579852516634332,0.0076602458953857425,7,2-norm,inverse,uniform
0.8581101099349719,0.007344841957092285,5,1-norm,inverse,uniform
0.8581326149565764,0.007475852966308594,7,1-norm,majority,uniform
0.8581332238958044,0.007642507553100586,5,2-norm,majority,uniform
0.8591184618366636,0.0073904752731323246,7,1-norm,inverse,mutual_info
0.8592652419204055,0.00746464729309082,5,2-norm,sheppard,mutual_info
0.8592652419204055,0.0076448917388916016,5,2-norm,majority,mutual_info
0.8593925102190294,0.00745859146118164,7,1-norm,majority,relief
0.8608400102233178,0.007465457916259766,7,chebyshev,majority,relief
0.8608832191786696,0.007661700248718262,7,2-norm,majority,relief
0.860947132067769,0.007611131668090821,7,2-norm,sheppard,uniform
0.8624615381976428,0.007456064224243164,5,1-norm,majority,uniform
