accuracy,efficiency,k,distance,policy,weighting,fold
0.5588235294117647,0.006699323654174805,7,chebyshev,majority,uniform,credita-8
0.5882352941176471,0.006901741027832031,5,chebyshev,majority,uniform,credita-8
0.5942028985507246,0.007150411605834961,5,chebyshev,majority,uniform,credita-2
0.6029411764705882,0.006653547286987305,5,chebyshev,sheppard,uniform,credita-8
0.6029411764705882,0.006697177886962891,7,chebyshev,sheppard,uniform,credita-8
0.6176470588235294,0.00669550895690918,7,chebyshev,majority,uniform,credita-7
0.6176470588235294,0.006690025329589844,5,chebyshev,majority,uniform,credita-7
0.6231884057971014,0.0067975521087646484,5,chebyshev,majority,uniform,credita-4
0.6231884057971014,0.00673365592956543,5,chebyshev,majority,uniform,credita-6
0.6231884057971014,0.006737709045410156,7,chebyshev,majority,uniform,credita-6
0.6323529411764706,0.006955862045288086,7,chebyshev,inverse,uniform,credita-8
0.6376811594202898,0.006829261779785156,7,chebyshev,sheppard,uniform,credita-6
0.6376811594202898,0.0067386627197265625,5,chebyshev,sheppard,uniform,credita-2
0.6470588235294118,0.006798505783081055,3,chebyshev,inverse,uniform,credita-8
0.6470588235294118,0.006831645965576172,5,chebyshev,inverse,uniform,credita-8
0.6521739130434783,0.0066792964935302734,5,chebyshev,sheppard,uniform,credita-6
0.6571428571428571,0.0068700313568115234,5,chebyshev,majority,uniform,credita-1
0.6617647058823529,0.006707429885864258,3,chebyshev,majority,uniform,credita-8
0.6617647058823529,0.006561279296875,3,chebyshev,sheppard,uniform,credita-8
0.6617647058823529,0.006656169891357422,3,chebyshev,majority,uniform,credita-7
0.6666666666666666,0.007012605667114258,3,chebyshev,majority,uniform,credita-6
0.6714285714285714,0.0067827701568603516,3,chebyshev,sheppard,uniform,credita-1
0.6764705882352942,0.006686687469482422,5,chebyshev,majority,uniform,credita-5
0.6764705882352942,0.007874727249145508,1,1-norm,majority,mutual_info,credita-7
0.6764705882352942,0.007329702377319336,1,1-norm,inverse,mutual_info,credita-7
0.6764705882352942,0.007035493850708008,1,1-norm,sheppard,mutual_info,credita-7
0.6764705882352942,0.0067958831787109375,3,chebyshev,inverse,uniform,credita-7
0.6811594202898551,0.007033348083496094,5,chebyshev,inverse,uniform,credita-2
0.6811594202898551,0.006902456283569336,5,chebyshev,inverse,uniform,credita-6
0.6811594202898551,0.006837368011474609,3,chebyshev,inverse,uniform,credita-6
0.6811594202898551,0.006951332092285156,7,chebyshev,inverse,uniform,credita-6
0.6857142857142857,0.0068433284759521484,5,chebyshev,sheppard,uniform,credita-1
0.6857142857142857,0.006902933120727539,3,chebyshev,majority,uniform,credita-1
0.6901408450704225,0.00709843635559082,5,chebyshev,majority,uniform,credita-0
0.6901408450704225,0.007228374481201172,3,chebyshev,majority,uniform,credita-0
0.6911764705882353,0.006768941879272461,1,chebyshev,majority,uniform,credita-8
0.6911764705882353,0.006475687026977539,1,chebyshev,inverse,uniform,credita-8
0.6911764705882353,0.0063550472259521484,1,chebyshev,sheppard,uniform,credita-8
0.6911764705882353,0.006692647933959961,7,chebyshev,majority,uniform,credita-9
0.6911764705882353,0.006606101989746094,3,chebyshev,sheppard,uniform,credita-7
0.6956521739130435,0.006777763366699219,3,chebyshev,majority,uniform,credita-2
0.6956521739130435,0.006623744964599609,3,chebyshev,sheppard,uniform,credita-6
0.7,0.00699305534362793,3,chebyshev,inverse,uniform,credita-1
0.7,0.006845712661743164,5,chebyshev,majority,uniform,credita-3
0.7,0.007031440734863281,5,chebyshev,inverse,uniform,credita-1
0.7058823529411765,0.006665945053100586,5,chebyshev,majority,uniform,credita-9
0.7058823529411765,0.006805419921875,5,chebyshev,inverse,uniform,credita-5
0.7058823529411765,0.0062711238861083984,1,chebyshev,sheppard,uniform,credita-7
0.7058823529411765,0.006681919097900391,7,chebyshev,sheppard,uniform,credita-7
0.7058823529411765,0.0068929195404052734,7,chebyshev,inverse,uniform,credita-7
0.7058823529411765,0.006607532501220703,5,chebyshev,sheppard,uniform,credita-7
0.7058823529411765,0.007130861282348633,1,chebyshev,inverse,mutual_info,credita-7
0.7058823529411765,0.00683283805847168,5,chebyshev,inverse,uniform,credita-7
0.7058823529411765,0.006865978240966797,1,chebyshev,sheppard,mutual_info,credita-7
0.7058823529411765,0.00646662712097168,1,chebyshev,inverse,uniform,credita-7
0.7058823529411765,0.007283210754394531,1,chebyshev,majority,mutual_info,credita-7
0.7058823529411765,0.006619930267333984,1,chebyshev,majority,uniform,credita-7
0.7101449275362319,0.00670313835144043,5,chebyshev,sheppard,uniform,credita-4
0.7205882352941176,0.0070302486419677734,1,1-norm,sheppard,uniform,credita-8
0.7205882352941176,0.00730586051940918,1,2-norm,inverse,uniform,credita-7
0.7205882352941176,0.007418394088745117,1,1-norm,majority,uniform,credita-7
0.7205882352941176,0.006617069244384766,5,chebyshev,sheppard,uniform,credita-5
0.7205882352941176,0.007383823394775391,1,2-norm,majority,uniform,credita-7
0.7205882352941176,0.007477521896362305,1,1-norm,inverse,uniform,credita-7
0.7205882352941176,0.006886959075927734,1,1-norm,sheppard,uniform,credita-7
