accuracy,efficiency,k,distance,policy,weighting
0.8435274598552038,0.5879150867462158,1,chebyshev,majority,relief
0.8435274598552038,0.6126082420349122,1,chebyshev,inverse,relief
0.8435274598552038,0.5983197450637817,1,chebyshev,sheppard,relief
0.8544014161338547,0.6567213535308838,3,chebyshev,majority,relief
0.8547119781353402,0.5893207550048828,3,chebyshev,sheppard,relief
0.8547119781353402,0.606120228767395,3,chebyshev,inverse,relief
0.8604624330558153,0.6461264133453369,7,chebyshev,inverse,relief
0.8612395580433038,0.6061739206314087,7,chebyshev,sheppard,relief
0.8618613997801002,0.6710452556610107,7,chebyshev,majority,relief
0.8634105739008566,0.5853218555450439,5,chebyshev,sheppard,relief
0.8634110538970168,0.5851105451583862,5,chebyshev,majority,relief
0.8634112961345812,0.5919575452804565,5,chebyshev,inverse,relief
0.8772365311631424,0.6215815067291259,1,chebyshev,majority,mutual_info
0.8772365311631424,0.6205766677856446,1,chebyshev,inverse,mutual_info
0.8772365311631424,0.6172021865844727,1,chebyshev,sheppard,mutual_info
0.879725847305938,0.43033628463745116,1,2-norm,sheppard,relief
0.879725847305938,0.459279990196228,1,2-norm,inverse,relief
0.879725847305938,0.45439002513885496,1,2-norm,majority,relief
0.8803493847126621,0.605625057220459,1,chebyshev,sheppard,uniform
0.8803493847126621,0.6127604007720947,1,chebyshev,majority,uniform
0.8803493847126621,0.6265331506729126,1,chebyshev,inverse,uniform
0.882992041712712,0.6185150623321534,3,chebyshev,majority,mutual_info
0.8842306853173204,0.6249908447265625,5,chebyshev,majority,mutual_info
0.8846945858668098,0.6880097150802612,7,chebyshev,sheppard,mutual_info
0.8851599443834439,0.7205975294113159,7,chebyshev,majority,mutual_info
0.8854721908434817,0.7359511852264404,7,chebyshev,inverse,mutual_info
0.8854758065120025,0.692767596244812,7,chebyshev,majority,uniform
0.8856327764537546,0.6805854797363281,3,chebyshev,inverse,mutual_info
0.8856327764537546,0.7113255739212037,3,chebyshev,sheppard,mutual_info
0.8860950128116769,0.6222773551940918,5,chebyshev,sheppard,mutual_info
0.8864101436997374,0.6106977462768555,7,chebyshev,sheppard,uniform
0.8865613358065767,0.622225284576416,5,chebyshev,inverse,mutual_info
0.8870271652846906,0.6084247827529907,3,chebyshev,majority,uniform
0.8873437541608256,0.6198279380798339,7,chebyshev,inverse,uniform
0.8884263787534152,0.6118085384368896,3,chebyshev,sheppard,uniform
0.8884263787534152,0.6278307676315308,3,chebyshev,inverse,uniform
0.8885802107972752,0.6071713447570801,5,chebyshev,sheppard,uniform
0.8887359740371507,0.612408971786499,5,chebyshev,inverse,uniform
0.8887477787606661,0.4675088167190552,3,2-norm,sheppard,relief
0.8887477787606661,0.47120280265808107,3,2-norm,inverse,relief
0.8890438781089977,0.6342846393585205,5,chebyshev,majority,uniform
0.8895282771791111,0.44536676406860354,3,2-norm,majority,relief
0.890920737053516,0.4303610324859619,5,2-norm,inverse,relief
0.8909212147962385,0.4298306703567505,5,2-norm,majority,relief
0.8910714401643981,0.4538944005966187,7,2-norm,inverse,relief
0.891075535815126,0.42869441509246825,5,2-norm,sheppard,relief
0.8912255167062367,0.43477036952972414,7,2-norm,majority,relief
0.8912264789240881,0.48936097621917723,7,2-norm,sheppard,relief
0.8933984615272973,0.4914659023284912,1,1-norm,majority,relief
0.8933984615272973,0.5094784021377563,1,1-norm,inverse,relief
0.8933984615272973,0.5044548034667968,1,1-norm,sheppard,relief
0.9000834643947112,0.4275520324707031,5,1-norm,majority,relief
0.900861069371383,0.42287020683288573,5,1-norm,sheppard,relief
0.9010120102269077,0.4246665000915527,7,1-norm,majority,relief
0.9010165903667173,0.4405322790145874,5,1-norm,inverse,relief
0.9011651200300668,0.504981517791748,7,1-norm,sheppard,relief
0.9022542514864893,0.42619996070861815,7,1-norm,inverse,relief
0.9031917153816705,0.5053120613098144,3,1-norm,sheppard,relief
0.903192197617315,0.4556679010391235,3,1-norm,inverse,relief
0.9033448274382672,0.44492478370666505,3,1-norm,majority,relief
0.9038150060858146,0.42489669322967527,1,2-norm,majority,uniform
0.9038150060858146,0.4273760080337524,1,2-norm,inverse,uniform
