accuracy,efficiency,k,distance,policy,weighting,fold
0.8289269051321928,0.5877456665039062,1,chebyshev,majority,relief,satimage-6
0.8289269051321928,0.580132007598877,1,chebyshev,inverse,relief,satimage-6
0.8289269051321928,0.5773043632507324,1,chebyshev,sheppard,relief,satimage-6
0.8304821150855366,0.584862232208252,1,chebyshev,sheppard,relief,satimage-8
0.8304821150855366,0.5719339847564697,1,chebyshev,inverse,relief,satimage-8
0.8304821150855366,0.5750291347503662,1,chebyshev,majority,relief,satimage-8
0.8310077519379845,0.574601411819458,1,chebyshev,majority,relief,satimage-5
0.8310077519379845,0.5708944797515869,1,chebyshev,inverse,relief,satimage-5
0.8310077519379845,0.5702123641967773,1,chebyshev,sheppard,relief,satimage-5
0.8312693498452013,0.5893166065216064,1,chebyshev,majority,relief,satimage-7
0.8312693498452013,0.5796372890472412,1,chebyshev,inverse,relief,satimage-7
0.8312693498452013,0.5768804550170898,1,chebyshev,sheppard,relief,satimage-7
0.834108527131783,0.6323575973510742,1,chebyshev,inverse,relief,satimage-2
0.834108527131783,0.621084451675415,1,chebyshev,majority,relief,satimage-2
0.834108527131783,0.6419534683227539,1,chebyshev,sheppard,relief,satimage-2
0.8367029548989113,0.5773375034332275,3,chebyshev,majority,relief,satimage-8
0.8367029548989113,0.5747191905975342,3,chebyshev,inverse,relief,satimage-8
0.8367029548989113,0.5729472637176514,3,chebyshev,sheppard,relief,satimage-8
0.8398133748055988,0.5719101428985596,5,chebyshev,sheppard,relief,satimage-8
0.8413685847589425,0.578361988067627,5,chebyshev,majority,relief,satimage-8
0.8413685847589425,0.5771656036376953,5,chebyshev,inverse,relief,satimage-8
0.8429237947122862,0.587277889251709,7,chebyshev,sheppard,relief,satimage-8
0.8429237947122862,0.5758497714996338,7,chebyshev,inverse,relief,satimage-8
0.8436532507739938,0.5816495418548584,3,chebyshev,majority,relief,satimage-7
0.8444790046656299,0.5804827213287354,3,chebyshev,majority,relief,satimage-6
0.8449612403100775,0.5782859325408936,7,chebyshev,majority,relief,satimage-5
0.8452012383900929,0.5821912288665771,3,chebyshev,sheppard,relief,satimage-7
0.8452012383900929,0.5839030742645264,3,chebyshev,inverse,relief,satimage-7
0.8460342146189735,0.5774312019348145,7,chebyshev,majority,relief,satimage-8
0.8465116279069768,0.5797703266143799,3,chebyshev,majority,relief,satimage-5
0.8465116279069768,0.5752732753753662,7,chebyshev,inverse,relief,satimage-5
0.8465116279069768,0.5758726596832275,7,chebyshev,sheppard,relief,satimage-5
0.8480620155038759,0.575385332107544,3,chebyshev,inverse,relief,satimage-5
0.8480620155038759,0.6081438064575195,3,chebyshev,sheppard,relief,satimage-5
0.8489096573208723,0.5847911834716797,1,chebyshev,sheppard,relief,satimage-9
0.8489096573208723,0.6319124698638916,1,chebyshev,inverse,relief,satimage-9
0.8489096573208723,0.6172900199890137,1,chebyshev,majority,relief,satimage-9
0.8491446345256609,0.693835973739624,3,chebyshev,sheppard,relief,satimage-6
0.8491446345256609,0.6190800666809082,1,chebyshev,sheppard,mutual_info,satimage-8
0.8491446345256609,0.6331377029418945,3,chebyshev,majority,relief,satimage-0
0.8491446345256609,0.6129045486450195,1,chebyshev,majority,mutual_info,satimage-8
0.8491446345256609,0.6108918190002441,1,chebyshev,inverse,mutual_info,satimage-8
0.8491446345256609,0.6165602207183838,3,chebyshev,inverse,relief,satimage-6
0.8496124031007752,0.5968866348266602,3,chebyshev,sheppard,relief,satimage-2
0.8496124031007752,0.5974140167236328,3,chebyshev,inverse,relief,satimage-2
0.8506998444790047,0.6052660942077637,7,chebyshev,inverse,relief,satimage-0
0.8506998444790047,0.6111347675323486,3,chebyshev,inverse,relief,satimage-0
0.8506998444790047,0.6426458358764648,3,chebyshev,sheppard,relief,satimage-0
0.8506998444790047,0.6219992637634277,7,chebyshev,majority,relief,satimage-0
0.8506998444790047,0.6297402381896973,7,chebyshev,sheppard,relief,satimage-0
0.8511627906976744,0.5950803756713867,3,chebyshev,majority,relief,satimage-2
0.8520249221183801,0.8426709175109863,3,chebyshev,majority,relief,satimage-9
0.8535825545171339,0.5916469097137451,3,chebyshev,sheppard,relief,satimage-9
0.8535825545171339,0.6377613544464111,3,chebyshev,inverse,relief,satimage-9
0.8538102643856921,0.6159143447875977,5,chebyshev,majority,relief,satimage-0
0.8542635658914729,0.577355146408081,7,chebyshev,sheppard,relief,satimage-2
0.8542635658914729,0.5822353363037109,7,chebyshev,inverse,relief,satimage-2
0.8553654743390358,0.5764575004577637,1,chebyshev,inverse,relief,satimage-0
0.8553654743390358,0.5753223896026611,1,chebyshev,majority,relief,satimage-0
0.8553654743390358,0.6067533493041992,5,chebyshev,inverse,relief,satimage-0
0.8553654743390358,0.6296520233154297,5,chebyshev,sheppard,relief,satimage-0
0.8553654743390358,0.595940113067627,1,chebyshev,sheppard,relief,satimage-0
0.8558139534883721,0.5832409858703613,7,chebyshev,majority,relief,satimage-2
0.8558139534883721,0.5798513889312744,5,chebyshev,inverse,relief,satimage-2
0.8558139534883721,0.5768704414367676,5,chebyshev,sheppard,relief,satimage-2
0.8566978193146417,0.5713152885437012,1,chebyshev,inverse,relief,satimage-4
0.8566978193146417,0.5663647651672363,1,chebyshev,sheppard,relief,satimage-4
0.8566978193146417,0.5734305381774902,1,chebyshev,majority,relief,satimage-4
0.8569206842923794,0.6037702560424805,1,chebyshev,majority,relief,satimage-1
0.8569206842923794,0.6054790019989014,1,chebyshev,inverse,relief,satimage-1
0.8569206842923794,0.7386839389801025,7,chebyshev,majority,uniform,satimage-8
0.8569206842923794,0.5958201885223389,1,chebyshev,sheppard,relief,satimage-1
0.8569206842923794,0.5799586772918701,7,chebyshev,majority,relief,satimage-6
0.8569206842923794,0.5763394832611084,7,chebyshev,inverse,relief,satimage-6
0.8573643410852713,0.5796515941619873,5,chebyshev,majority,relief,satimage-2
0.8584758942457231,0.5859026908874512,7,chebyshev,inverse,relief,satimage-3
0.8584758942457231,0.573676347732544,7,chebyshev,sheppard,relief,satimage-6
0.8584758942457231,0.6096434593200684,3,chebyshev,majority,uniform,satimage-8
0.8584758942457231,0.6481800079345703,3,chebyshev,inverse,uniform,satimage-8
0.8584758942457231,0.6208186149597168,3,chebyshev,sheppard,uniform,satimage-8
0.8584758942457231,0.6313338279724121,7,chebyshev,sheppard,mutual_info,satimage-8
0.8589147286821706,0.5763075351715088,5,chebyshev,inverse,relief,satimage-5
0.8589147286821706,0.5723564624786377,5,chebyshev,sheppard,relief,satimage-5
0.8600311041990669,0.6098809242248535,7,chebyshev,inverse,mutual_info,satimage-8
0.8600311041990669,0.6525068283081055,3,chebyshev,sheppard,mutual_info,satimage-8
